Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Temperature (C)_1,Temperature (C)_2,Temperature (C)_3,Temperature (C)_4,time(h)
278,4708.323947,9/20/2016 21:24,0.03124366,5,1,-1.505547285,4.113143921,2.418754237,6.58E-06,9.554408249,2.73E-05,-0.012023354,0,0,0,0,26.23035431,25.92930603,25.50604248,25.68482971,1.307867763
279,4708.448791,9/20/2016 21:24,0.156087428,5,1,-3.001285076,4.088426113,2.418754237,9.77E-05,9.554408249,0.000401724,-0.016966915,0,0,0,0,26.23035431,25.92930603,25.50604248,25.68482971,1.307902442
280,4709.852691,9/20/2016 21:24,1.559987597,5,1,-3.001632214,4.078355789,2.418754237,0.001268187,9.554408249,0.005180451,-0.01898098,0,0,0,0,26.23035431,25.77729416,25.42996788,25.7608223,1.308292414
281,4712.598237,9/20/2016 21:24,4.305533565,5,1,-3.001285076,4.068285465,2.418754237,0.003557337,9.554408249,0.014503999,-0.020995045,0,0,0,0,26.23035431,25.92930603,25.50604248,25.68482971,1.309055066
282,4716.716697,9/20/2016 21:24,8.423993951,5,1,-3.001632214,4.058215141,2.418754237,0.006991119,9.554408249,0.028455175,-0.002551435,0,0,0,0,26.29142952,25.83839035,25.49109268,25.82193565,1.310199083
283,4722.675779,9/20/2016 21:24,14.38307554,5,1,-3.001632214,4.048144817,2.418754237,0.011959548,9.554408249,0.048591733,-0.001579507,0,0,0,0,26.23035431,25.92930603,25.35388756,25.68482971,1.311854383
284,4730.475791,9/20/2016 21:24,22.18308713,5,1,-3.001285076,4.038074493,2.418754237,0.018462855,9.554408249,0.074884238,-0.001275725,0,0,0,0,26.29142952,25.83839035,25.49109268,25.82193565,1.314021053
285,4740.490822,9/20/2016 21:24,32.1981181,5,1,-3.000937223,4.028614044,2.418754237,0.026813067,9.554408249,0.108562675,-0.000911324,0,0,0,0,26.38180161,25.92930603,25.50604248,25.68482971,1.316803006
286,4750.505921,9/20/2016 21:24,42.21321756,5,1,-3.001285076,4.020679951,2.418754237,0.035163315,9.554408249,0.142169533,-0.000789798,0,0,0,0,26.30608177,25.77729416,25.35388756,25.68482971,1.319584978
287,4760.521048,9/20/2016 21:25,52.22834453,5,1,-3.002344608,4.014576912,2.418754237,0.043513665,9.554408249,0.175719136,-0.000607541,0,0,0,0,26.38180161,25.853302,25.35388756,25.68482971,1.322366958
288,4770.536126,9/20/2016 21:25,62.24342255,5,1,-3.001969814,4.009083748,2.418754237,0.051863735,9.554408249,0.20921813,-0.000546787,0,0,0,0,26.45751762,25.77729416,25.35388756,25.7608223,1.325148924
289,4780.551257,9/20/2016 21:25,72.25855368,5,1,-3.001969099,4.004201412,2.418754237,0.060213869,9.554408249,0.242674642,-0.000486031,0,0,0,0,26.38180161,25.92930603,25.42996788,25.68482971,1.327930905
290,4790.566414,9/20/2016 21:25,82.27371105,5,1,-3.001285076,3.99992919,2.418754237,0.068564177,9.554408249,0.276094048,-0.000425228,0,0,0,0,26.45751762,25.77729416,25.50604248,25.68482971,1.330712893
291,4800.581579,9/20/2016 21:25,92.28887578,5,1,-3.001285076,3.99626708,2.418754237,0.076914299,9.554408249,0.309479131,-0.00036452,0,0,0,0,26.53322983,25.77729416,25.35388756,25.68482971,1.333494883
292,4810.596616,9/20/2016 21:25,102.3039132,5,1,-3.00127387,3.992605209,2.418754237,0.08526437,9.554408249,0.34283318,-0.00036453,0,0,0,0,26.53322983,25.77729416,25.35388756,25.68482971,1.336276838
293,4820.611744,9/20/2016 21:26,112.3190405,5,1,-3.001632214,3.98955369,2.418754237,0.093614671,9.554408249,0.376160386,-0.000303722,0,0,0,0,26.54788399,25.71619606,25.29275703,25.62371445,1.339058818
294,4830.626916,9/20/2016 21:26,122.3342125,5,1,-3.001621723,3.986501932,2.418754237,0.101965105,9.554408249,0.409462108,-0.000303765,0,0,0,0,26.62358856,25.86821747,25.36884117,25.62371445,1.34184081
295,4840.641957,9/20/2016 21:26,132.3492538,5,1,-3.001285076,3.983755589,2.418754237,0.110315466,9.554408249,0.442739037,-0.000303722,0,0,0,0,26.62358856,25.86821747,25.36884117,25.69971085,1.344622766
