Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Temperature (C)_1,Temperature (C)_2,Temperature (C)_3,Temperature (C)_4
1,10.020415105654132,2017-01-24 19:04:53,9.952680561310768,1,1,0.0,3.475982666015625,0.0,8.716732e-09,0.0,3.029655e-08,6.075519195292145e-05,0.0,0,0,0,34.34765625,34.574485778808594,34.536434173583984,34.32957458496094
2,20.033001560536004,2017-01-24 19:05:03,19.9652673361737,1,1,0.0,3.475982666015625,0.0,8.716732e-09,0.0,3.029655e-08,6.075472629163414e-05,0.0,0,0,0,34.40827178955078,34.71046829223633,34.597049713134766,34.465576171875
3,30.051611658818185,2017-01-24 19:05:13,29.98387743445588,1,1,0.0,3.475982666015625,0.0,8.716732e-09,0.0,3.029655e-08,6.071124880691059e-05,0.0,0,0,0,34.34765625,34.49909973144531,34.536434173583984,34.40494918823242
4,40.06478175914825,2017-01-24 19:05:23,39.99704721480489,1,1,0.0,3.475982666015625,0.0,8.716732e-09,0.0,3.029655e-08,0.0,0.0,0,0,0,34.42316436767578,34.574485778808594,34.38556671142578,34.40494918823242
5,50.08905648208465,2017-01-24 19:05:33,50.02132193774129,1,1,0.0,3.475982666015625,0.0,8.716732e-09,0.0,3.029655e-08,0.0,0.0,0,0,0,34.34765625,34.574485778808594,34.536434173583984,34.480323791503906
6,60.07131993208841,2017-01-24 19:05:43,60.00358538774505,1,1,0.0,3.475982666015625,0.0,8.716732e-09,0.0,3.029655e-08,6.075466808397323e-05,0.0,0,0,0,34.48377227783203,34.635093688964844,34.597049713134766,34.39020538330078
7,60.10282416559868,2017-01-24 19:05:44,0.031206792557881,2,1,1.2429983615875244,3.5437378883361816,5.345493959e-06,8.72016e-09,1.8761936908e-05,3.0308465e-08,0.013551044277846813,0.0,0,0,0,34.48377227783203,34.635093688964844,34.597049713134766,34.39020538330078
8,60.2276215775919,2017-01-24 19:05:44,0.156003884570033,2,1,2.496674060821533,3.6124088764190674,8.101730155e-05,8.72016e-09,0.000287665757141,3.0308465e-08,0.027285242453217506,0.0,0,0,0,34.48377227783203,34.635093688964844,34.597049713134766,34.39020538330078
9,65.31313459522126,2017-01-24 19:05:49,5.241517222180447,2,1,2.4970145225524902,3.622480630874634,0.003607937931033,8.72016e-09,0.013050953549915,3.0308465e-08,0.0018835702212527394,0.0,0,0,0,34.27214813232422,34.574485778808594,34.38556671142578,34.40494918823242
10,75.32808219032363,2017-01-24 19:05:59,15.256464817282817,2,1,2.496671199798584,3.629195213317871,0.010553419229529,8.72016e-09,0.038235827334925,3.0308465e-08,0.0006075947894714773,0.0,0,0,0,34.42316436767578,34.574485778808594,34.461002349853516,34.40494918823242
11,85.34308706203524,2017-01-24 19:06:09,25.271469369013353,2,1,2.4963231086730957,3.6337733268737793,0.01749893423166,8.72016e-09,0.063458407868331,3.0308465e-08,0.0004253264924045652,0.0,0,0,0,34.332759857177734,34.635093688964844,34.44619369506836,34.465576171875
12,95.35803721698605,2017-01-24 19:06:19,35.286419523964184,2,1,2.496680498123169,3.6374356746673584,0.024444245612111,8.72016e-09,0.088708733868044,3.0308465e-08,0.0004253303341101855,0.0,0,0,0,34.42316436767578,34.574485778808594,34.461002349853516,34.40494918823242
13,105.37302320981526,2017-01-24 19:06:29,45.30140551679341,2,1,2.497020959854126,3.6410980224609375,0.031389714479454,8.72016e-09,0.113985716750667,3.0308465e-08,0.00036452763015404344,0.0,0,0,0,34.34765625,34.574485778808594,34.38556671142578,34.40494918823242
14,115.38803128133743,2017-01-24 19:06:39,55.31641358831558,2,1,2.4963231086730957,3.6447606086730957,0.038335190076692,8.72016e-09,0.139287488167149,3.0308465e-08,0.0004253271908964962,0.0,0,0,0,34.48377227783203,34.635093688964844,34.597049713134766,34.465576171875
15,125.40297503666712,2017-01-24 19:06:49,65.33135766362632,2,1,2.496680498123169,3.648728132247925,0.045280702447735,8.72016e-09,0.164614702292317,3.0308465e-08,0.00042528280755504966,0.0,0,0,0,34.559268951416016,34.635093688964844,34.44619369506836,34.54094696044922
16,135.4179530299699,2017-01-24 19:06:59,75.3463356569291,2,1,2.496680498123169,3.651780366897583,0.052226262776533,8.72016e-09,0.189966607570233,3.0308465e-08,0.0003038208815269172,0.0,0,0,0,34.4986686706543,34.64986801147461,34.536434173583984,34.40494918823242
17,145.43293518302644,2017-01-24 19:07:09,85.3613174900046,2,1,2.496997833251953,3.655137538909912,0.059172001035601,8.72016e-09,0.215343693047244,3.0308465e-08,0.0003038206195924431,0.0,0,0,0,34.4986686706543,34.49909973144531,34.536434173583984,34.32957458496094
18,155.44792245577992,2017-01-24 19:07:19,95.37630476275805,2,1,2.4970145225524902,3.658799886703491,0.066117731384232,8.72016e-09,0.240745755033911,3.0308465e-08,0.00024301718804053962,0.0,0,0,0,34.634761810302734,34.635093688964844,34.597049713134766,34.54094696044922
19,165.4628870098783,2017-01-24 19:07:29,105.39126963683752,2,1,2.4970145225524902,3.6624624729156494,0.073063654126563,8.72016e-09,0.266173147831985,3.0308465e-08,0.0003038211725652218,0.0,0,0,0,34.57416534423828,34.574485778808594,34.38556671142578,34.480323791503906
20,175.47787044285909,2017-01-24 19:07:39,115.4062527498372,2,1,2.496657371520996,3.6661248207092285,0.08000937117538,8.72016e-09,0.291625107214243,3.0308465e-08,0.00036452856147661805,0.0,0,0,0,34.755435943603516,34.60478973388672,34.56674575805664,34.435264587402344
21,185.49284875614293,2017-01-24 19:07:49,125.42123106312108,2,1,2.496657371520996,3.6697874069213867,0.086955258676291,8.72016e-09,0.317102198654386,3.0308465e-08,0.00036457498208619654,0.0,0,0,0,34.72513961791992,34.574485778808594,34.536434173583984,34.480323791503906
22,195.5078305892184,2017-01-24 19:07:59,135.43621289619654,2,1,2.496657371520996,3.673449754714966,0.093900979297352,8.72016e-09,0.342604010819696,3.0308465e-08,0.00036457585520111024,0.0,0,0,0,34.78573226928711,34.635093688964844,34.597049713134766,34.54094696044922
23,205.52279354341152,2017-01-24 19:08:09,145.45117585038966,2,1,2.496997833251953,3.677417516708374,0.100846727425023,8.72016e-09,0.368131504360103,3.0308465e-08,0.0004253310617059469,0.0,0,0,0,34.800621032714844,34.64986801147461,34.536434173583984,34.40494918823242
24,215.53778625584297,2017-01-24 19:08:19,155.46616888280212,2,1,2.4970145225524902,3.680774688720703,0.107792906376607,8.72016e-09,0.393686417595644,3.0308465e-08,0.0003645758843049407,0.0,0,0,0,34.800621032714844,34.49909973144531,34.536434173583984,34.480323791503906
25,225.5528090464937,2017-01-24 19:08:29,165.4811913534719,2,1,2.4970145225524902,3.6844370365142822,0.114738954719316,8.72016e-09,0.419266227172043,3.0308465e-08,0.0003645243705250323,0.0,0,0,0,34.800621032714844,34.574485778808594,34.461002349853516,34.480323791503906
26,235.56776848089524,2017-01-24 19:08:39,175.49615078787338,2,1,2.4973716735839844,3.6880996227264404,0.121684957743548,8.72016e-09,0.444871467968159,3.0308465e-08,0.00036457509850151837,0.0,0,0,0,34.83091354370117,34.68016815185547,34.56674575805664,34.51063537597656
27,245.5826831179487,2017-01-24 19:08:49,185.51106542492684,2,1,2.496680498123169,3.6914567947387695,0.128631039319464,8.72016e-09,0.470502130703202,3.0308465e-08,0.0003037761489395052,0.0,0,0,0,34.8760986328125,34.574485778808594,34.536434173583984,34.40494918823242
28,255.5976687907969,2017-01-24 19:08:59,195.5260514177561,2,1,2.4973549842834473,3.6951193809509277,0.135577125129358,8.72016e-09,0.4961578028436,3.0308465e-08,0.0003038231807295233,0.0,0,0,0,34.8760986328125,34.49909973144531,34.536434173583984,34.40494918823242
29,265.6126611832472,2017-01-24 19:09:09,205.54104349022535,2,1,2.4970145225524902,3.699086904525757,0.142523284023064,8.72016e-09,0.521838725966203,3.0308465e-08,0.0004253322840668261,0.0,0,0,0,34.8760986328125,34.574485778808594,34.536434173583984,34.480323791503906
30,275.6276206176487,2017-01-24 19:09:19,215.55600324460792,2,1,2.4970054626464844,3.702444076538086,0.149469602131519,8.72016e-09,0.547544733757552,3.0308465e-08,0.000364531297236681,0.0,0,0,0,34.8760986328125,34.574485778808594,34.536434173583984,34.480323791503906
31,285.6426018107621,2017-01-24 19:09:29,225.57098411774024,2,1,2.497020959854126,3.705496311187744,0.156415989166444,8.72016e-09,0.573275377430061,3.0308465e-08,0.0003038215800188482,0.0,0,0,0,35.01214599609375,34.635093688964844,34.597049713134766,34.54094696044922
32,295.65760764241685,2017-01-24 19:09:39,235.585989949395,2,1,2.4963231086730957,3.7091586589813232,0.163362124809568,8.72016e-09,0.599028416380567,3.0308465e-08,0.0003038215509150177,0.0,0,0,0,35.087608337402344,34.635093688964844,34.597049713134766,34.54094696044922
33,305.6725984349619,2017-01-24 19:09:49,245.60098106192115,2,1,2.4970145225524902,3.7128210067749023,0.170308275272508,8.72016e-09,0.624805061406829,3.0308465e-08,0.0003645270480774343,0.0,0,0,0,34.951568603515625,34.64986801147461,34.536434173583984,34.480323791503906
34,315.68759370724183,2017-01-24 19:09:59,255.61597633420104,2,1,2.4970145225524902,3.7158732414245605,0.17725446061427,8.72016e-09,0.650605235391284,3.0308465e-08,0.0003038205613847822,0.0,0,0,0,35.02703094482422,34.574485778808594,34.536434173583984,34.480323791503906
35,325.7024907453372,2017-01-24 19:10:09,265.63087305231534,2,1,2.496680498123169,3.7192304134368896,0.184200537000871,8.72016e-09,0.676428327338989,3.0308465e-08,0.0003038253344129771,0.0,0,0,0,35.087608337402344,34.635093688964844,34.597049713134766,34.465576171875
36,335.7175404143968,2017-01-24 19:10:19,275.6459227213749,2,1,2.4963231086730957,3.7225875854492188,0.191146748538084,8.72016e-09,0.702274231514386,3.0308465e-08,0.00036452687345445156,0.0,0,0,0,35.02703094482422,34.574485778808594,34.536434173583984,34.480323791503906
37,345.73249376915817,2017-01-24 19:10:29,285.66087607613633,2,1,2.4970145225524902,3.725639581680298,0.198093196074417,8.72016e-09,0.728144014346893,3.0308465e-08,0.0003037744027096778,0.0,0,0,0,35.02703094482422,34.64986801147461,34.536434173583984,34.480323791503906
38,355.7474932011918,2017-01-24 19:10:39,295.67587550816995,2,1,2.4970145225524902,3.728996992111206,0.20503972252757,8.72016e-09,0.754035962571284,3.0308465e-08,0.00030382012482732534,0.0,0,0,0,35.087608337402344,34.635093688964844,34.597049713134766,34.54094696044922
39,365.76251567186154,2017-01-24 19:10:49,305.69089797883964,2,1,2.4966650009155273,3.732048988342285,0.211986053260042,8.72016e-09,0.779948986323259,3.0308465e-08,0.00030381837859749794,0.0,0,0,0,35.23851013183594,34.71046829223633,34.597049713134766,34.61630630493164
40,375.7774399083467,2017-01-24 19:11:00,315.7058222153249,2,1,2.4973549842834473,3.7351009845733643,0.218932518763435,8.72016e-09,0.80588372684032,3.0308465e-08,0.00036457940586842597,0.0,0,0,0,35.23851013183594,34.635093688964844,34.597049713134766,34.54094696044922
41,385.79242622115703,2017-01-24 19:11:10,325.72080852813514,2,1,2.4973549842834473,3.7378478050231934,0.225878970932314,8.72016e-09,0.831839687877725,3.0308465e-08,0.00024301913799718022,0.0,0,0,0,35.23851013183594,34.635093688964844,34.597049713134766,34.54094696044922
42,395.8074157337778,2017-01-24 19:11:20,335.735798360737,2,1,2.4970145225524902,3.7408998012542725,0.232825563385647,8.72016e-09,0.857815844999483,3.0308465e-08,0.0003037730057258159,0.0,0,0,0,35.23851013183594,34.71046829223633,34.597049713134766,34.54094696044922
43,405.822390207289,2017-01-24 19:11:30,345.7507728342482,2,1,2.4973485469818115,3.7436468601226807,0.239772087742741,8.72016e-09,0.883811274626533,3.0308465e-08,0.00024306552950292826,0.0,0,0,0,35.23851013183594,34.635093688964844,34.67247009277344,34.54094696044922
44,415.83731316385,2017-01-24 19:11:40,355.7656954708282,2,1,2.496680498123169,3.7460882663726807,0.246718689843787,8.72016e-09,0.909825333135099,3.0308465e-08,0.00024302120436914265,0.0,0,0,0,35.208229064941406,34.60478973388672,34.56674575805664,34.51063537597656
45,425.8523321147281,2017-01-24 19:11:50,365.7807147416873,2,1,2.4973549842834473,3.7485299110412598,0.253665273308773,8.72016e-09,0.935857055576465,3.0308465e-08,0.00024301906523760408,0.0,0,0,0,35.23851013183594,34.71046829223633,34.597049713134766,34.54094696044922
46,435.8673449859661,2017-01-24 19:12:00,375.79572761292536,2,1,2.4966650009155273,3.751276731491089,0.260611953258569,8.72016e-09,0.96190561556145,3.0308465e-08,0.0003037721326109022,0.0,0,0,0,35.3893928527832,34.635093688964844,34.597049713134766,34.54094696044922
47,445.88231018002665,2017-01-24 19:12:10,385.8106924870048,2,1,2.497030258178711,3.753413200378418,0.26755871332457,8.72016e-09,0.987971628979556,3.0308465e-08,0.00018226333486381918,0.0,0,0,0,35.35911560058594,34.68016815185547,34.56674575805664,34.51063537597656
48,455.8972696144282,2017-01-24 19:12:20,395.8256522413873,2,1,2.4970145225524902,3.755244493484497,0.274505591755512,8.72016e-09,1.014052878516519,3.0308465e-08,0.0001822645281208679,0.0,0,0,0,35.23851013183594,34.635093688964844,34.67247009277344,34.54094696044922
49,465.9122671265754,2017-01-24 19:12:30,405.84064975353454,2,1,2.4973549842834473,3.757380962371826,0.281452424109732,8.72016e-09,1.040148258256803,3.0308465e-08,0.0001822639023885131,0.0,0,0,0,35.3893928527832,34.635093688964844,34.597049713134766,34.54094696044922
50,475.9272617588932,2017-01-24 19:12:40,415.8556440658714,2,1,2.496671199798584,3.7592122554779053,0.288399097148984,8.72016e-09,1.06625569729324,3.0308465e-08,0.00018231087597087026,0.0,0,0,0,35.3893928527832,34.71046829223633,34.67247009277344,34.54094696044922
51,485.9422317526696,2017-01-24 19:12:50,425.8706143796288,2,1,2.496680498123169,3.7607381343841553,0.295345756356505,8.72016e-09,1.092375141847752,3.0308465e-08,0.00018226346583105624,0.0,0,0,0,35.3893928527832,34.71046829223633,34.597049713134766,34.54094696044922
52,495.95721006595335,2017-01-24 19:13:00,435.8855923729315,2,1,2.496680498123169,3.7622642517089844,0.30229260010384,8.72016e-09,1.118507037231146,3.0308465e-08,0.00012150903785368428,0.0,0,0,0,35.3893928527832,34.635093688964844,34.597049713134766,34.69166564941406
53,505.9721842194835,2017-01-24 19:13:10,445.9005665264616,2,1,2.496657371520996,3.7640955448150635,0.309239170390166,8.72016e-09,1.1446488113039,3.0308465e-08,0.00012155665899626911,0.0,0,0,0,35.3893928527832,34.71046829223633,34.67247009277344,34.54094696044922
54,515.9871679724453,2017-01-24 19:13:20,455.91555027942354,2,1,2.4973642826080322,3.7653162479400635,0.316186015752331,8.72016e-09,1.170801436291252,3.0308465e-08,6.07545516686514e-05,0.0,0,0,0,35.3893928527832,34.635093688964844,34.597049713134766,34.54094696044922
55,526.0021475656534,2017-01-24 19:13:30,465.9305298726315,2,1,2.4970145225524902,3.7668423652648926,0.323132985261933,8.72016e-09,1.196964815380618,3.0308465e-08,0.0001215564989252016,0.0,0,0,0,35.46482849121094,34.635093688964844,34.67247009277344,34.69166564941406
56,536.0170558030858,2017-01-24 19:13:40,475.94543811006395,2,1,2.4977047443389893,3.7680630683898926,0.330079827735204,8.72016e-09,1.223136993341348,3.0308465e-08,0.00012151082046329975,0.0,0,0,0,35.46482849121094,34.635093688964844,34.597049713134766,34.69166564941406
57,546.0321019523537,2017-01-24 19:13:50,485.96048425933185,2,1,2.4970145225524902,3.7695891857147217,0.337026662634023,8.72016e-09,1.249318392544717,3.0308465e-08,0.0001823115162551403,0.0,0,0,0,35.3893928527832,34.635093688964844,34.597049713134766,34.54094696044922
58,556.0470892251072,2017-01-24 19:14:00,495.97547153208535,2,1,2.4970054626464844,3.7708098888397217,0.34397341251688,8.72016e-09,1.275508603063669,3.0308465e-08,0.00012150905968155712,0.0,0,0,0,35.54025650024414,34.635093688964844,34.67247009277344,34.54094696044922
59,566.0620601788266,2017-01-24 19:14:10,505.99044248580486,2,1,2.496997833251953,3.772030830383301,0.350920153768113,8.72016e-09,1.301707829276032,3.0308465e-08,0.00012155700824223459,0.0,0,0,0,35.3893928527832,34.71046829223633,34.597049713134766,34.54094696044922
60,576.0770301726031,2017-01-24 19:14:20,516.0054124795812,2,1,2.4970145225524902,3.773556709289551,0.357866921821354,8.72016e-09,1.327916083594398,3.0308465e-08,0.0001822638005251065,0.0,0,0,0,35.46482849121094,34.635093688964844,34.74789047241211,34.54094696044922
