Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Temperature (C)_1,Temperature (C)_2,Temperature (C)_3,Temperature (C)_4
1,10.003510185684757,2017-02-28 18:42:23,9.944574161209657,1,1,0.0,3.6602377891540527,2.71e-12,0.0,9.922e-12,0.0,0.0,0.0,0,0,0,43.87171173095703,44.404869079589844,44.1482048034668,43.785301208496094
2,20.010057958056635,2017-02-28 18:42:33,19.95112161360048,1,1,0.0,3.6602377891540527,2.71e-12,0.0,9.922e-12,0.0,0.0,0.0,0,0,0,43.857032775878906,44.464942932128906,44.13350296020508,43.84541702270508
3,30.02546504595703,2017-02-28 18:42:43,29.966528701500874,1,1,0.0,3.6602377891540527,2.71e-12,0.0,9.922e-12,0.0,-6.108284287620336e-05,0.0,0,0,0,44.006561279296875,44.315460205078125,44.20829772949219,43.77066421508789
4,40.03403349870463,2017-02-28 18:42:53,39.97509747422953,1,1,0.0,3.660543203353882,2.71e-12,0.0,9.922e-12,0.0,0.0,0.0,0,0,0,43.931800842285156,44.315460205078125,44.20829772949219,43.77066421508789
5,50.050106787165944,2017-02-28 18:43:03,49.991170442709794,1,1,0.0,3.6602377891540527,2.71e-12,0.0,9.922e-12,0.0,-6.083547123125754e-05,0.0,0,0,0,43.931800842285156,44.315460205078125,44.20829772949219,43.84541702270508
6,60.05909377513627,2017-02-28 18:43:13,60.000157430680105,1,1,0.0,3.660543203353882,2.71e-12,0.0,9.922e-12,0.0,0.0,0.0,0,0,0,43.931800842285156,44.464942932128906,44.13350296020508,43.84541702270508
7,60.05939068941024,2017-02-28 18:43:14,1.279924228e-06,2,1,0.7554208040237427,3.7039268016815186,2.71289e-10,0.0,1.004716e-09,0.0,0.0,0.0,0,0,0,43.931800842285156,44.464942932128906,44.13350296020508,43.84541702270508
8,60.18413146475634,2017-02-28 18:43:14,0.124741735289271,2,1,3.0002639293670654,3.834688425064087,5.5332634973e-05,0.0,0.000206432582927,0.0,0.026152323931455612,0.0,0,0,0,43.931800842285156,44.464942932128906,44.13350296020508,43.84541702270508
9,70.20314473917048,2017-02-28 18:43:24,10.143755009703426,2,1,3.0002636909484863,3.8301055431365967,0.008404714001304,0.0,0.032184651957583,0.0,0.0005474064382724464,0.0,0,0,0,44.006561279296875,44.315460205078125,44.13350296020508,43.84541702270508
10,80.2181025736667,2017-02-28 18:43:34,20.158712844199624,2,1,2.9999210834503174,3.834993839263916,0.016750520300961,0.0,0.064171410812909,0.0,0.00042575664701871574,0.0,0,0,0,43.94647979736328,44.2553825378418,44.1482048034668,43.785301208496094
11,90.23307864708315,2017-02-28 18:43:44,30.173688917616076,2,1,2.9999210834503174,3.8398821353912354,0.025096300265843,0.0,0.096199103382023,0.0,0.00048655978753231466,0.0,0,0,0,44.081321716308594,44.39020538330078,44.20829772949219,43.77066421508789
12,100.24805152068905,2017-02-28 18:43:54,40.188662111203016,2,1,3.0002753734588623,3.8441593647003174,0.03344223991705,0.0,0.128264464552083,0.0,0.0004257583641447127,0.0,0,0,0,44.021240234375,44.2553825378418,44.07341003417969,43.785301208496094
13,110.26306375196494,2017-02-28 18:44:04,50.20367402249787,2,1,3.0002694129943848,3.8481311798095703,0.041788161127002,0.0,0.16036295438338,0.0,0.00036495219683274627,0.0,0,0,0,44.30557632446289,44.315460205078125,44.20829772949219,43.84541702270508
14,120.27800814725674,2017-02-28 18:44:14,60.218618737770726,2,1,3.0002694129943848,3.851797342300415,0.05013423263708,0.0,0.192494173574325,0.0,0.00036491284845396876,0.0,0,0,0,44.30557632446289,44.464942932128906,44.13350296020508,43.84541702270508
15,130.29299637995337,2017-02-28 18:44:24,70.23360697046735,2,1,2.9999096393585205,3.8554635047912598,0.0584803849401,0.0,0.224657565893782,0.0,0.0004257584805600345,0.0,0,0,0,44.24550247192383,44.404869079589844,44.1482048034668,43.785301208496094
16,140.30797885299097,2017-02-28 18:44:34,80.2485891235239,2,1,2.999932289123535,3.8594353199005127,0.066826374739688,0.0,0.256851593229303,0.0,0.00042576465057209134,0.0,0,0,0,44.394989013671875,44.404869079589844,44.1482048034668,43.785301208496094
17,150.32297380528976,2017-02-28 18:44:44,90.26358439580378,2,1,3.0002639293670654,3.8631014823913574,0.07517233395014,0.0,0.289076954802592,0.0,0.00036490766797214746,0.0,0,0,0,44.75395584106445,44.464942932128906,44.13350296020508,43.84541702270508
18,160.33795659830844,2017-02-28 18:44:54,100.27856718882242,2,1,2.9999210834503174,3.866462230682373,0.083518386123544,0.0,0.321333547867005,0.0,0.00030410586623474956,0.0,0,0,0,44.693904876708984,44.404869079589844,44.1482048034668,43.785301208496094
19,170.3529080331835,2017-02-28 18:45:04,110.29351862369748,2,1,3.0002753734588623,3.870434045791626,0.091864421373708,0.0,0.353620125416903,0.0,0.0004257590917404741,0.0,0,0,0,44.76862335205078,44.2553825378418,44.1482048034668,43.785301208496094
20,180.36790426540657,2017-02-28 18:45:14,120.30851453593948,2,1,3.0002753734588623,3.8737947940826416,0.100210171439515,0.0,0.385934838983146,0.0,0.00036496116081252694,0.0,0,0,0,45.05278778076172,44.464942932128906,44.20829772949219,43.77066421508789
21,190.38284546088775,2017-02-28 18:45:24,130.3234557314207,2,1,3.0002753734588623,3.877155303955078,0.108555956392475,0.0,0.41827814021994,0.0,0.0003649090649560094,0.0,0,0,0,44.99275588989258,44.33012771606445,44.1482048034668,43.785301208496094
22,200.39787689102712,2017-02-28 18:45:34,140.33848748154108,2,1,2.999915361404419,3.8805160522460938,0.116901916065149,0.0,0.450649666439281,0.0,0.00036490484490059316,0.0,0,0,0,45.06745147705078,44.33012771606445,44.07341003417969,43.785301208496094
